A1,B1,Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
21.0,rat,2022-01-03,17387.15,17646.65,17383.3,17625.7,200456430,16181.36
8.0,,2022-01-04,17681.4,17827.6,17593.55,17805.25,247437472,18604.16
,,2022-01-05,17820.1,17944.7,17748.85,17925.25,251460038,23737.31
,,2022-01-06,17768.5,17797.95,17655.55,17745.9,236454824,22643.82
,,2022-01-07,17797.6,17905.0,17704.55,17812.7,239338015,21447.89
,,2022-01-10,17913.3,18017.45,17879.15,18003.3,232418075,20853.64
,,2022-01-11,17997.75,18081.25,17964.4,18055.75,220238796,20781.46
,,2022-01-12,18170.4,18227.95,18128.8,18212.35,244974287,22298.69
,,2022-01-13,18257.0,18272.25,18163.8,18257.8,303700545,28670.93
,,2022-01-14,18185.0,18286.95,18119.65,18255.75,229451608,21024.51
,,2022-01-17,18235.65,18321.55,18228.75,18308.1,266702919,23859.38
,,2022-01-18,18337.2,18350.95,18085.9,18113.05,227507319,20852.67
,,2022-01-19,18129.2,18129.2,17884.9,17938.4,276662654,25310.19
,,2022-01-20,17921.0,17943.7,17648.45,17757.0,258094246,25863.29
,,2022-01-21,17613.7,17707.6,17485.85,17617.15,277645373,25941.64
,,2022-01-24,17575.15,17599.4,16997.85,17149.1,323847388,28387.73
,,2022-01-25,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
,,2022-01-27,17062.0,17182.5,16866.75,17110.15,395596577,36296.64
,,2022-01-28,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
,,2022-01-31,17301.05,17410.0,17264.15,17339.85,321660346,25474.13
,,2022-02-01,17529.45,17622.4,17244.55,17576.85,386391485,30033.66
,,2022-02-02,17706.2,17794.6,17674.8,17780.0,271205907,23611.59
,,2022-02-03,17767.75,17781.15,17511.15,17560.2,226614989,20373.06
,,2022-02-04,17590.2,17617.8,17462.55,17516.3,261434170,20651.85
,,2022-02-07,17456.3,17536.75,17119.4,17213.6,265037933,21925.11
,,2022-02-08,17279.85,17306.45,17043.65,17266.75,268526210,23846.16
,,2022-02-09,17370.1,17477.15,17339.0,17463.8,236350514,19327.67
,,2022-02-10,17554.1,17639.45,17427.15,17605.85,273606440,22210.93
,,2022-02-11,17451.0,17454.75,17303.0,17374.75,-,-
,,2022-01-03,17387.15,17646.65,17383.3,17625.7,200456430,16181.36
,,2022-01-04,17681.4,17827.6,17593.55,17805.25,247437472,18604.16
,,2022-01-05,17820.1,17944.7,17748.85,17925.25,251460038,23737.31
,,2022-01-06,17768.5,17797.95,17655.55,17745.9,236454824,22643.82
,,2022-01-07,17797.6,17905.0,17704.55,17812.7,239338015,21447.89
,,2022-01-10,17913.3,18017.45,17879.15,18003.3,232418075,20853.64
,,2022-01-11,17997.75,18081.25,17964.4,18055.75,220238796,20781.46
,,2022-01-12,18170.4,18227.95,18128.8,18212.35,244974287,22298.69
,,2022-01-13,18257.0,18272.25,18163.8,18257.8,303700545,28670.93
,,2022-01-14,18185.0,18286.95,18119.65,18255.75,229451608,21024.51
,,2022-01-17,18235.65,18321.55,18228.75,18308.1,266702919,23859.38
,,2022-01-18,18337.2,18350.95,18085.9,18113.05,227507319,20852.67
,,2022-01-19,18129.2,18129.2,17884.9,17938.4,276662654,25310.19
,,2022-01-20,17921.0,17943.7,17648.45,17757.0,258094246,25863.29
,,2022-01-21,17613.7,17707.6,17485.85,17617.15,277645373,25941.64
,,2022-01-24,17575.15,17599.4,16997.85,17149.1,323847388,28387.73
,,2022-01-25,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
,,2022-01-27,17062.0,17182.5,16866.75,17110.15,395596577,36296.64
,,2022-01-28,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
,,2022-01-31,17301.05,17410.0,17264.15,17339.85,321660346,25474.13
,,2022-02-01,17529.45,17622.4,17244.55,17576.85,386391485,30033.66
,,2022-02-02,17706.2,17794.6,17674.8,17780.0,271205907,23611.59
,,2022-02-03,17767.75,17781.15,17511.15,17560.2,226614989,20373.06
,,2022-02-04,17590.2,17617.8,17462.55,17516.3,261434170,20651.85
,,2022-02-07,17456.3,17536.75,17119.4,17213.6,265037933,21925.11
,,2022-02-08,17279.85,17306.45,17043.65,17266.75,268526210,23846.16
,,2022-02-09,17370.1,17477.15,17339.0,17463.8,236350514,19327.67
,,2022-02-02,17706.2,17794.6,17674.8,17780.0,271205907,23611.59
,,2022-02-03,17767.75,17781.15,17511.15,17560.2,226614989,20373.06
,,2022-02-04,17590.2,17617.8,17462.55,17516.3,261434170,20651.85
,,2022-02-07,17456.3,17536.75,17119.4,17213.6,265037933,21925.11
,,2022-02-08,17279.85,17306.45,17043.65,17266.75,268526210,23846.16
,,2022-02-09,17370.1,17477.15,17339.0,17463.8,236350514,19327.67
,,2022-02-02,17706.2,17794.6,17674.8,17780.0,271205907,23611.59
,,2022-02-03,17767.75,17781.15,17511.15,17560.2,226614989,20373.06
,,2022-02-04,17590.2,17617.8,17462.55,17516.3,261434170,20651.85
,,2022-02-07,17456.3,17536.75,17119.4,17213.6,265037933,21925.11
,,2022-02-08,17279.85,17306.45,17043.65,17266.75,268526210,23846.16
,,2022-02-09,17370.1,17477.15,17339.0,17463.8,236350514,19327.67
,,2022-01-03,17387.15,17646.65,17383.3,17625.7,200456430,16181.36
,,2022-01-04,17681.4,17827.6,17593.55,17805.25,247437472,18604.16
,,2022-01-05,17820.1,17944.7,17748.85,17925.25,251460038,23737.31
,,2022-01-06,17768.5,17797.95,17655.55,17745.9,236454824,22643.82
,,2022-01-07,17797.6,17905.0,17704.55,17812.7,239338015,21447.89
,,2022-01-10,17913.3,18017.45,17879.15,18003.3,232418075,20853.64
,,2022-01-11,17997.75,18081.25,17964.4,18055.75,220238796,20781.46
,,2022-01-12,18170.4,18227.95,18128.8,18212.35,244974287,22298.69
,,2022-01-13,18257.0,18272.25,18163.8,18257.8,303700545,28670.93
,,2022-01-14,18185.0,18286.95,18119.65,18255.75,229451608,21024.51
,,2022-01-17,18235.65,18321.55,18228.75,18308.1,266702919,23859.38
,,2022-01-18,18337.2,18350.95,18085.9,18113.05,227507319,20852.67
,,2022-01-19,18129.2,18129.2,17884.9,17938.4,276662654,25310.19
,,2022-01-20,17921.0,17943.7,17648.45,17757.0,258094246,25863.29
,,2022-01-21,17613.7,17707.6,17485.85,17617.15,277645373,25941.64
,,2022-01-24,17575.15,17599.4,16997.85,17149.1,323847388,28387.73
,,2022-01-25,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
,,2022-01-27,17062.0,17182.5,16866.75,17110.15,395596577,36296.64
,,2022-01-28,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
,,2022-01-31,17301.05,17410.0,17264.15,17339.85,321660346,25474.13
,,2022-02-01,17529.45,17622.4,17244.55,17576.85,386391485,30033.66
,,2022-02-02,17706.2,17794.6,17674.8,17780.0,271205907,23611.59
,,2022-01-03,17387.15,17646.65,17383.3,17625.7,200456430,16181.36
,,2022-01-04,17681.4,17827.6,17593.55,17805.25,247437472,18604.16
,,2022-01-05,17820.1,17944.7,17748.85,17925.25,251460038,23737.31
,,2022-01-06,17768.5,17797.95,17655.55,17745.9,236454824,22643.82
,,2022-01-07,17797.6,17905.0,17704.55,17812.7,239338015,21447.89
,,2022-01-10,17913.3,18017.45,17879.15,18003.3,232418075,20853.64
,,2022-01-11,17997.75,18081.25,17964.4,18055.75,220238796,20781.46
,,2022-01-12,18170.4,18227.95,18128.8,18212.35,244974287,22298.69
,,2022-01-13,18257.0,18272.25,18163.8,18257.8,303700545,28670.93
,,2022-01-14,18185.0,18286.95,18119.65,18255.75,229451608,21024.51
,,2022-01-17,18235.65,18321.55,18228.75,18308.1,266702919,23859.38
,,2022-01-18,18337.2,18350.95,18085.9,18113.05,227507319,20852.67
,,2022-01-19,18129.2,18129.2,17884.9,17938.4,276662654,25310.19
,,2022-01-20,17921.0,17943.7,17648.45,17757.0,258094246,25863.29
,,2022-01-21,17613.7,17707.6,17485.85,17617.15,277645373,25941.64
,,2022-01-24,17575.15,17599.4,16997.85,17149.1,323847388,28387.73
,,2022-01-25,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
,,2022-01-27,17062.0,17182.5,16866.75,17110.15,395596577,36296.64
,,2022-01-28,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
,,2022-01-31,17301.05,17410.0,17264.15,17339.85,321660346,25474.13
,,2022-02-01,17529.45,17622.4,17244.55,17576.85,386391485,30033.66
,,2022-02-02,17706.2,17794.6,17674.8,17780.0,271205907,23611.59
,,2022-01-10,17913.3,18017.45,17879.15,18003.3,232418075,20853.64
,,2022-01-11,17997.75,18081.25,17964.4,18055.75,220238796,20781.46
,,2022-01-12,18170.4,18227.95,18128.8,18212.35,244974287,22298.69
,,2022-01-13,18257.0,18272.25,18163.8,18257.8,303700545,28670.93
,,2022-01-14,18185.0,18286.95,18119.65,18255.75,229451608,21024.51
,,2022-01-17,18235.65,18321.55,18228.75,18308.1,266702919,23859.38
,,2022-01-18,18337.2,18350.95,18085.9,18113.05,227507319,20852.67
,,2022-01-19,18129.2,18129.2,17884.9,17938.4,276662654,25310.19
,,2022-01-20,17921.0,17943.7,17648.45,17757.0,258094246,25863.29
,,2022-01-21,17613.7,17707.6,17485.85,17617.15,277645373,25941.64
,,2022-01-24,17575.15,17599.4,16997.85,17149.1,323847388,28387.73
,,2022-01-25,17001.55,17309.15,16836.8,17277.95,326515896,31344.46
,,2022-01-27,17062.0,17182.5,16866.75,17110.15,395596577,36296.64
,,2022-01-28,17208.3,17373.5,17077.1,17101.95,355284285,29799.89
,,2022-01-31,17301.05,17410.0,17264.15,17339.85,321660346,25474.13
